"iso","whrc_aboveground_biomass_loss__Mg","umd_tree_cover_loss__ha","whrc_aboveground_co2_emissions__Mg","umd_tree_cover_loss__year"
"JEY",25.282510629351865,0.20268790583549195,46.35126948714509,2006
"JOR",70.71801933455977,0.7835791415624555,129.6497021133596,2006
"JPN",6914181.252539831,38974.45382815413,12675998.96298969,2006
"KAZ",362620.82014362636,3142.037633788395,664804.8369299817,2006
"KEN",3840957.4049953828,20656.438782932346,7041755.242491536,2006
"KGZ",11985.065960438711,110.58315986918004,21972.620927470965,2006
"KHM",17682045.363201626,80507.19540113192,32417083.165869646,2006
"KNA",3855.8996747577626,20.454445301420606,7069.149403722566,2006
"KOR",1178290.7119279606,10148.495214439754,2160199.6385345943,2006
"LAO",26993588.704446316,122677.87988354714,49488245.95815158,2006
"LBN",15045.501710897383,148.81790494826143,27583.419803311866,2006
"LBR",6445546.521306968,36221.24298092208,11816835.289062774,2006
"LBY",1485.9178017004276,16.3024655117947,2724.182636450784,2006
"LCA",20915.49931881611,98.11695233858373,38345.082084496185,2006
"LIE",2228.976529041297,11.598105367983642,4086.456969909044,2006
"LKA",1260784.482333383,7730.473436409556,2311438.217611202,2006
"LSO",341.0878255600953,2.4256202655666517,625.3276801935081,2006
"LTU",2073951.4698814168,17449.726870591916,3802244.361449264,2006
"LUX",78029.70874510832,365.9888042212664,143054.46603269858,2006
"LVA",4411012.406302354,38893.50325350296,8086856.078220984,2006
"MAC",,3.4983249402915932,,2006
"MAF",345.9446259900921,2.636319610878756,634.2318143151688,2006
"MAR",253024.90273344077,2221.776919562151,463878.9883446414,2006
"MDA",19846.15041777663,173.20152099805688,36384.60909925715,2006
"MDG",11379462.232873641,71034.03765642633,20862347.42693501,2006
"MDV",58.252607159103306,3.9063780813236626,106.79644645835606,2006
"MEX",22989859.530613344,179043.66593585876,42148075.80612447,2006
"MKD",315636.4659595223,2042.1325967877729,578666.8542591243,2006
"MLI",12571.345029960998,103.70893658620265,23047.465888261828,2006
"MLT",65.02498496810239,0.6258853129904515,119.21247244152102,2006
"MMR",26971659.306475263,127464.1415015592,49448042.06187131,2006
"MNE",28247.418130847254,175.5461739541368,51786.933239886625,2006
"MNG",1204818.619839476,13249.214446073696,2208834.136372372,2006
"MOZ",23784175.0137475,172223.89748935934,43604320.85853708,2006
"MSR",2780.304553221941,12.612604582229164,5097.225014240225,2006
"MTQ",17346.1156132552,91.17823278162277,31801.211957634536,2006
"MUS",27382.621786356212,142.48742232739238,50201.47327498639,2006
"MWI",888840.265423076,5563.048996397819,1629540.4866089725,2006
"MYS",81264883.05120592,333901.39493924094,148985618.92721087,2006
"MYT",8878.764187621755,41.5867527368335,16277.734343973218,2006
"NAM",1335.9839618741494,17.040996719004077,2449.3039301026074,2006
"NCL",347615.2452729469,2134.532560701938,637294.6163337366,2006
"NGA",3549723.018099472,26167.557950238945,6507825.533182364,2006
"NIC",8126018.5771376435,38875.45820383863,14897700.724752348,2006
"NLD",239777.8178598332,1482.347280904154,439592.6660763609,2006
"NOR",3717233.860581735,40648.51285867198,6814928.744399848,2006
"NPL",850465.3307492547,3255.0100289311,1559186.439706967,2006
"NZL",11308438.348239386,61671.65710718083,20732136.9717722,2006
"PAK",217267.30078968307,1345.3201096628732,398323.38478108554,2006
"PAN",7061293.133628137,34322.711572897824,12945704.07831825,2006
"PER",23109433.026448317,88915.88443692608,42367293.881821916,2006
"PHL",13281133.35613237,57428.525048395335,24348744.486242674,2006
"PLW",11269.011294123211,34.867139689161064,20659.854039225887,2006
"PNG",16509860.132636324,56388.40530135735,30268076.90983326,2006
"POL",4985627.908795517,37680.33709414056,9140317.832791781,2006
"PRI",232273.68214752647,1242.998386447347,425835.0839371319,2006
"PRK",1465258.7701647761,12580.251427104366,2686307.7453020895,2006
"PRT",5643669.994750319,42566.30062330998,10346728.323708918,2006
"PRY",12604755.029940166,148256.3610051315,23108717.554890305,2006
"PSE",57.87300108494466,0.7234155284016889,106.1005019890652,2006
"REU",137897.10452009994,628.8964876422151,252811.3582868498,2006
"ROU",2323050.8326945994,13066.51923066753,4258926.526606766,2006
"RUS",202338735.04686353,2233420.2548791454,370954347.58591646,2006
"RWA",110081.68165880721,745.5328997464495,201816.4163744799,2006
"SDN",470.1092512322234,4.1506645137647995,861.8669605924096,2006
"SEN",4945.637778451658,41.24825584624351,9067.00259382804,2006
"SGP",9090.653441474828,56.06806504195396,16666.19797603718,2006
"SLB",1404060.1192368255,5068.419639967124,2574110.218600847,2006
"SLE",4317269.5214026105,28525.9283956541,7914994.122571455,2006
"SLV",704019.0992674942,4604.314794615934,1290701.681990406,2006
"SOM",9185.596033885458,118.51669685403216,16840.259395456676,2006
"SRB",338530.6276886035,1891.223049294923,620639.4840957731,2006
"SSD",825893.2051902418,8963.298123116354,1514137.5428487766,2006
"SUR",1005681.6342151575,3404.350215513905,1843749.6627277886,2006
"SVK",1485481.9191225441,8022.866910637093,2723383.5183913317,2006
"SVN",235200.08438376096,1246.1189483224534,431200.1547035618,2006
"SWE",21252772.11180044,249126.08010292272,38963415.5383008,2006
"SWZ",2252905.2373631825,9431.399995474238,4130326.26849917,2006
"SXM",208.53962684032018,2.270716445733378,382.3226492072537,2006
"SYC",36.740008417838624,0.15181821660263894,67.3566820993708,2006
"SYR",33691.15099622379,280.75155734043625,61767.11015974366,2006
"TCA",283.8279171920637,4.577945866062521,520.3511815187834,2006
"TCD",329766.32115515973,2981.8970090695016,604571.5887844595,2006
"TGO",179532.63583327748,1687.8064304325403,329143.16569434205,2006
"THA",21173331.608003706,99820.57963343912,38817774.61467346,2006
"TJK",2205.97730394436,19.433076637059692,4044.2917238979926,2006
"TKM",1522.3949492888712,13.62915282636058,2791.057407029597,2006
"TLS",678095.4989375675,2929.0921986487992,1243175.08138554,2006
"TTO",320720.73547459696,1755.825235874835,587988.0150367608,2006
"TUN",40392.8184785052,353.7352516466367,74053.5005439262,2006
"TUR",2747962.666000606,25884.823812203555,5037931.554334445,2006
"TWN",470035.3764549073,2076.7225022637576,861731.5235006635,2006
"TZA",10618161.02702786,85295.84419366895,19466628.549551077,2006
"UGA",4966009.117671963,28448.198025602996,9104350.049065264,2006
"UKR",5834590.062652316,42130.1087295951,10696748.448195912,2006
"UMI",,0.07309477526366773,,2006
"URY",2091558.1493813936,21029.27939856655,3834523.2738658865,2006
"USA",359518921.6632949,2605855.5543936715,659118023.0493741,2006
"UZB",5395.223319419,53.07967528544983,9891.242752268166,2006
"VCT",2306.6732231212018,10.494106763332454,4228.9009090555355,2006
"VEN",13546420.2640636,85490.75853768186,24835103.817449935,2006
"VGB",419.9369713236046,2.777119088920198,769.8844474266084,2006
"VIR",11811.776283943274,73.80593740275805,21654.923187229335,2006
"VNM",16473599.137013178,78777.19252676822,30201598.41785749,2006
"VUT",47847.23284361929,219.12138676990884,87719.9268799687,2006
"XAD",219.88370743131998,2.097757331486426,403.1201302907533,2006
"XCA",897.3501985291978,8.97092192889351,1645.1420306368625,2006
"XKO",94770.32763254386,519.9870444799376,173745.60065966373,2006
"XNC",1587.3204204091965,15.89387124443617,2910.08743741686,2006
"ZAF",22422644.290314604,104943.27066732201,41108181.19891012,2006
"ZMB",5894383.428371506,40500.90119540359,10806369.618681096,2006
"ZWE",2638876.533371307,14883.276794202822,4837940.311180731,2006
"AFG",31924.13931956894,252.84166203678524,58527.58875254302,2007
"AGO",19329826.103312027,145286.71261893096,35438014.52273872,2007
"AIA",653.3723330541067,8.635548870159013,1197.8492772658624,2007
"ALA",21865.324301170498,247.94607234766187,40086.42788547924,2007
"ALB",910973.2982813894,5225.026688463702,1670117.7135158812,2007
"AND",399.028386695415,2.1690592921811094,731.5520422749273,2007
"ARG",29499801.349347882,425345.26776401914,54082969.1404711,2007
